"stripped_author","distil_author_only","partial_token_set","token_set","token_sort"
"meyer ernst h f 17911858","meyer wilhelm 18451917","100.0","47.82608695652174","39.13043478260869"
"caesar julius","caesar julius","100.0","100.0","100.0"
"drexel jeremias 15811638","drepanius florus 5th century","35.55555555555555","30.769230769230774","30.76923076923077"
"kircher athanasius 16021680","kircher athanasius 16021680","100.0","100.0","100.0"
"hincmar archbishop of reims approximately 806882","hincmar archbishop of reims","100.0","100.0","72.0"
"acosta jose de 15401600","acosta jose de 15401600","100.0","100.0","100.0"
"lessius leonardus 15541623","lessing gotthold ephraim 17291781","44.44444444444444","40.67796610169491","40.67796610169492"
"riccioli giovanni battista 15981671","ricci matteo 15521610","57.14285714285714","57.142857142857146","57.14285714285714"
"mersenne marin 15881648","mersenne marin 15881648","100.0","100.0","100.0"
"virgil","virgil","100.0","100.0","100.0"
"kepler johannes 15711630","kepler johannes","100.0","100.0","76.92307692307692"
"suarez francisco 15481617","suarez francisco 15481617","100.0","100.0","100.0"
"alvares manuel 15261583","alvares manuel 15261583","100.0","100.0","100.0"
"huygens constantijn 15961687","huygens christiaan 16291695","100.0","65.45454545454545","65.45454545454545"
"reiske johann jacob 17161774","reisch emil 18631933","37.03703703703704","37.5","37.5"
"boethius 524","boethius 524","100.0","100.0","100.0"
"prosper of aquitaine saint approximately 390approximately 463","prosper of aquitaine saint","100.0","100.0","59.77011494252873"
"vitruvius pollio","vitruvius pollio","100.0","100.0","100.0"
"thomas aquinas saint 12251274","thomas aquinas saint","100.0","100.0","81.63265306122449"
"juvencus caius vettius aquilinus","juvencus caius vettius aquilinus","100.0","100.0","100.0"
"lucretius carus titus","lucretius carus titus","100.0","100.0","100.0"
"cicero marcus tullius","cicero marcus tullius","100.0","100.0","100.0"
"hyginus gromaticus","hyginus gromaticus","100.0","100.0","100.0"
"horace","horace","100.0","100.0","100.0"
"valerius flaccus gaius active 1st century","valerius flaccus gaius","100.0","100.0","69.84126984126983"
"livy","livy","100.0","100.0","100.0"
"commodianus","commodianus","100.0","100.0","100.0"
"copernicus nicolaus 14731543","copernicus nicolaus 14731543","100.0","100.0","100.0"
"nonius marcellus active 4th century","nonius marcellus","100.0","100.0","62.745098039215684"
"bacon roger 12141294","bacon roger 12141294","100.0","100.0","100.0"
"gretser jakob 15621625","gretser jakob 15621625","100.0","100.0","100.0"
"palladius rutilius taurus aemilianus","palladius rutilius taurus aemilianus","100.0","100.0","100.0"
"huygens christiaan 16291695","huygens christiaan 16291695","100.0","100.0","100.0"
"valerius maximus","valerius maximus","100.0","100.0","100.0"
"silius italicus tiberius catius","silius italicus tiberius catius","100.0","100.0","100.0"
"victor sextus aurelius","victor sextus aurelius","100.0","100.0","100.0"
"juvenal","juvenal","100.0","100.0","100.0"
"claudianus claudius","claudianus claudius","100.0","100.0","100.0"
"florus lucius annaeus","florus lucius annaeus","100.0","100.0","100.0"
"propertius sextus","propertius sextus","100.0","100.0","100.0"
"maffei giovanni pietro 15361603","maffei giovanni pietro 15361603","100.0","100.0","100.0"
"franchis francesco de","franchi de cavalieri pius 18691960","100.0","50.90909090909091","43.63636363636364"
"pliny the elder","pliny the elder","100.0","100.0","100.0"
"horatius romanus fl 1450","horatius romanus","100.0","100.0","80.0"
"doni gio battista 1593 or 15941647","donizone di canossa","47.36842105263158","33.9622641509434","33.9622641509434"
"lucas karl wilhelm","lucas bishop of tuy approximately 1249","100.0","43.47826086956522","35.71428571428571"
"muret marcantoine 15261585","muret marcantoine 15261585","100.0","100.0","100.0"
"martin bernard 15741639","andreas bernard active 1500","100.0","60.0","40.0"
"wesseling petrus 16921764","wessely carl 18601931","57.14285714285714","56.52173913043478","56.52173913043479"
"curtius rufus quintus","curtius rufus quintus","100.0","100.0","100.0"
"augustine of hippo saint 354430","augustine of hippo saint 354430","100.0","100.0","100.0"
"catullus gaius valerius","catullus gaius valerius","100.0","100.0","100.0"
